,Name,Rating,Review,No_Of_employee,Company_type,Old,Headquarters
86,D Mart,3.9,3.9k, 10k-50k Employees , Fortune India 500 , 24 years old , Mumbai +209 more
87,Cyient,3.8,3.8k, 10k-50k Employees , Public , 33 years old , Hyderabad/Secunderabad +35 more
88,Coforge,3.5,3.8k, 10k-50k Employees , Public , 20 years old , Noida +86 more
89,ICICI Lombard General Insurance Company,3.8,3.8k, 10k-50k Employees , Public , 23 years old , Mumbai +260 more
90,BigBasket,3.9,3.8k, 10k-50k Employees , Indian Unicorn , 13 years old , Bangalore +114 more
91,Indiamart Intermesh,3.5,3.8k, 5k-10k Employees , 28 years old , Noida +137 more,
92,Virtusa Consulting Services,3.7,3.8k, 10k-50k Employees , 28 years old , Southborough +37 more,
93,Equitas Small Finance Bank,4.4,3.7k, 10k-50k Employees , Fortune India 500 , 17 years old , Chennai +364 more
94,TVS Motor,3.9,3.7k, 5k-10k Employees , Public , 45 years old , Chennai +275 more
95,GlobalLogic,3.7,3.6k, 10k-50k Employees , 24 years old , San Jose +32 more,
96,Manappuram Finance,3.9,3.6k, 10k-50k Employees , Public , 75 years old , Thrissur/Trichur +493 more
97,UST,3.8,3.6k, 10k-50k Employees , 23 years old , Aliso Viejo +36 more,
98,Hewlett-Packard Enterprise,4.2,3.6k, 10k-50k Employees , Forbes Global 2000 , 9 years old , Houston +90 more
99,Atos Syntel,3.5,3.6k, 5k-10k Employees , 44 years old , Troy +23 more,
100,Nagarro,3.8,3.6k, 10k-50k Employees , 28 years old , Munich +39 more,
101,SBI Cards & Payment Services,3.7,3.6k, 1k-5k Employees , 26 years old , Gurgaon/Gurugram +335 more,
102,Cummins,4.3,3.6k, 1k-5k Employees , Fortune India 500 , 62 years old , Columbus +103 more
103,Bosch Global Software Technologies,4.1,3.6k, 10k-50k Employees , 34 years old , Gerlingen +30 more,
104,IQVIA,3.9,3.5k, 10k-50k Employees , Forbes Global 2000 , 42 years old , Durham +41 more
105,Ekart Logistics,4.0,3.5k, 1k-5k Employees , 15 years old , San Francisco +563 more,
106,Bosch,4.2,3.5k, 5k-10k Employees , Public , 138 years old , Gerlingen +100 more
107,Reliance Communications,3.9,3.5k, 201-500 Employees , Public , 22 years old , Navi Mumbai +421 more
108,SMFG India Credit,4.0,3.5k, 10k-50k Employees , 17 years old , Mumbai +483 more,
109,Cholamandalam Investment & Finance,4.0,3.5k, 10k-50k Employees , Fortune India 500 , 46 years old , Chennai +628 more
110,BNY Mellon,4.1,3.5k, 10k-50k Employees , Forbes Global 2000 , 20 years old , New York City +15 more
111,Schneider Electric,4.1,3.5k, 10k-50k Employees , Forbes Global 2000 , 25 years old , Paris +115 more
112,Hyundai Motor,4.3,3.4k, 10k-50k Employees , Fortune India 500 , 57 years old , Seoul +261 more
113,L&T Technology Services,3.4,3.4k, 10k-50k Employees , Public , 12 years old , Vadodara/Baroda +48 more
114,Oyo Rooms,3.3,3.4k, 1k-5k Employees , Indian Unicorn , 11 years old , Gurgaon +117 more
115,Amdocs,3.9,3.4k, 10k-50k Employees , Forbes Global 2000 , 42 years old , Chesterfield +15 more
116,CBRE,4.2,3.3k, 10k-50k Employees , Forbes Global 2000 , 118 years old , Los Angeles +74 more
117,State Bank of India,3.6,3.3k, 1 Lakh+ Employees , Fortune India 500 , 218 years old , Mumbai +481 more
118,BT Group,4.0,3.3k, 10k-50k Employees , Forbes Global 2000 , 178 years old , London +18 more
119,Swiggy,3.8,3.3k, 5k-10k Employees , Indian Unicorn , 10 years old , Bangalore +179 more
120,JBM Group,4.0,3.3k, 1k-5k Employees , Public , 41 years old , Gurgaon/Gurugram +87 more
121,Ecom Express,4.0,3.3k, 10k-50k Employees , 12 years old , Gurgaon +616 more,
122,SBI Life Insurance Company,3.8,3.2k, 10k-50k Employees , 23 years old , Mumbai +518 more,
123,Dell,4.1,3.2k, 10k-50k Employees , Forbes Global 2000 , 40 years old , Round Rock +100 more
124,Optum,3.9,3.2k, 10k-50k Employees , 47 years old , Prairie +27 more,
125,Bajaj Auto,3.8,3.2k, 5k-10k Employees , Public , 79 years old , Pune +249 more
126,Nagarjuna Construction Company,4.1,3.2k, 5k-10k Employees , Public , 26 years old , Hyderabad/Secunderabad +225 more
127,Future Group,4.3,3.2k, 10k-50k Employees , Conglomerate , 11 years old , Mumbai +202 more
128,KEC International,4.1,3.2k, 5k-10k Employees , Public , 79 years old , Mumbai +266 more
129,Piramal Capital Housing Finance,4.2,3.1k, 1k-5k Employees , 4 years old , Mumbai +328 more,
130,Aditya Birla Fashion and Retail,4.2,3.1k, 10k-50k Employees , Fortune India 500 , 9 years old , Mumbai +225 more
131,Muthoot Fincorp,4.0,3.1k, 10k-50k Employees , Conglomerate , 137 years old , Trivandrum/Thiruvananthapuram +532 more
132,Royal Enfield,4.2,3k, 5k-10k Employees , 123 years old , Gurgaon/Gurugram +303 more,
133,L&T Finance,4.0,3k, 10k-50k Employees , Public , 30 years old , Mumbai +473 more
134,Viatris,4.2,3k, 10k-50k Employees , Forbes Global 2000 , 63 years old , Canonsburg +70 more
135,Tata Communications,4.2,3k, 5k-10k Employees , Public , 38 years old , Mumbai +89 more
136,Samvardhana Motherson Group,3.7,3k, 1k-5k Employees , Public , 38 years old , Noida +74 more
137,LG Electronics,3.9,3k, 1k-5k Employees , Public , 66 years old , Seoul +247 more
138,Intas Pharmaceuticals,4.0,3k, 10k-50k Employees , Fortune India 500 , 24 years old , Ahmedabad +115 more
